city,price,price_per_m2,area_m2,rooms,floor,neighborhood,sub_neighborhood,is_private_owner,url
Warszawa,1499000.0,17410.0,86.1,4.0,1.0,Ursus,Szamoty,False,https://www.otodom.pl/pl/oferta/4-pok-wysoki-standard-dwustronne-umeblowane-ID4zVB3
Warszawa,1132200.0,18500.0,61.2,3.0,1.0,Włochy,Stare Włochy,False,https://www.otodom.pl/pl/oferta/3pok-bez-pcc-bez-prowizji-deweloperka-ID4ySdH
Warszawa,801746.0,11995.0,66.84,3.0,0.0,,,False,https://www.otodom.pl/pl/oferta/3pok-bez-pcc-bez-prowizji-oddane-do-uzytkowania-ID4vu3d
Warszawa,656750.0,18500.0,35.5,1.0,5.0,Bemowo,Chrzanów,False,https://www.otodom.pl/pl/oferta/blisko-planowanej-m2-swietne-pod-inwestycje-ID4syc1
Warszawa,430000.0,18298.0,23.5,1.0,0.0,Praga-Południe,Grochów,False,https://www.otodom.pl/pl/oferta/sloneczna-kawalerka-z-widokiem-na-park-ID4AULc
Warszawa,895000.0,22314.0,40.11,2.0,3.0,Śródmieście,Nowe Miasto,False,https://www.otodom.pl/pl/oferta/w-kamienicy-obok-ogrodu-krasinskich-inwestycyjnie-ID4zI89
Warszawa,1150000.0,18254.0,63.0,3.0,1.0,Białołęka,Dąbrówka Szlachecka,False,https://www.otodom.pl/pl/oferta/gotowe-3-pok-do-wejscia-z-ogrodkiem-tuz-przy-lesie-ID4zWEA
Warszawa,2190000.0,32206.0,68.0,2.0,2.0,Śródmieście,Powiśle,False,https://www.otodom.pl/pl/oferta/unikatowy-apartament-w-przedwojennej-kamienicy-ID4An3w
Warszawa,2200000.0,29333.0,75.0,3.0,7.0,Mokotów,Służewiec,False,https://www.otodom.pl/pl/oferta/taras-80-m2-3-pokoje-2-m-park-wysoki-standard-ID4AB4F
Warszawa,1188000.0,15989.0,74.3,4.0,3.0,Bielany,Marymont-Ruda,False,https://www.otodom.pl/pl/oferta/4-pokoje-gotowe-do-wejscia-kepa-potocka-ID4ANZM
Warszawa,659000.0,23964.0,27.5,2.0,4.0,Śródmieście,Powiśle,False,https://www.otodom.pl/pl/oferta/powisle-bulwar-po-remoncie-balkon-klima-piwnica-ID4AvBe
Warszawa,640000.0,18719.0,34.19,1.0,4.0,Mokotów,Sielce,False,https://www.otodom.pl/pl/oferta/kawalerka-34-2m2-garaz-ochrona-24h-blok-z-2014r-ID4Akx6
Warszawa,950000.0,17827.0,53.29,2.0,1.0,Wilanów,Błonia Wilanowskie,False,https://www.otodom.pl/pl/oferta/ciche-i-sloneczne-i-zamkniete-zielone-osiedle-ID4AKIq
Warszawa,759000.0,16414.0,46.24,2.0,2.0,Wola,Młynów,False,https://www.otodom.pl/pl/oferta/wola-i-2-pokoje-i-dwustronne-i-oddzielna-kuchnia-ID4ActG
Warszawa,860000.0,13586.0,63.3,3.0,3.0,Bemowo,Bemowo-Lotnisko,False,https://www.otodom.pl/pl/oferta/bemowo-i-3-pokoje-i-duzy-balkon-i-cicha-okolica-i-ID4Aecy
Warszawa,849000.0,22946.0,37.0,1.0,2.0,Śródmieście,Solec,False,https://www.otodom.pl/pl/oferta/powisle-i-37-m-i-dwustronne-i-osobna-kuchnia-i-ID4zZZc
Warszawa,825000.0,17285.0,47.73,2.0,6.0,Wola,Nowolipki,False,https://www.otodom.pl/pl/oferta/dwustronne-nowe-instalacje-osobna-kuchnia-ID4zSDs
Warszawa,499000.0,13132.0,38.0,2.0,1.0,Targówek,Bródno,False,https://www.otodom.pl/pl/oferta/2-pokoje-przy-metrze-balkon-bez-kw-brodno-ID4AED3
